"","","2019","2019","2019","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Indicator","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"lx - number of people left alive at age x"," 70-74 years","79308.78604","73763.52986","85342.00334","77814.06008","71725.02778","84492.71838","74536.79665","68468.18578","81360.52297","70522.8105","64887.36215","76976.34962","68389.47072","62725.14284","74927.49735"
"lx - number of people left alive at age x"," 75-79 years","68424.7046","61083.03945","76432.12579","66601.13625","58882.80335","75252.0177","62404.43374","54874.37643","71097.22608","56942.34593","49886.55215","65137.53353","54568.98822","47780.95738","62487.06731"
"lx - number of people left alive at age x"," 80-84 years","53272.338","44461.92827","63027.67027","51065.11244","41930.13329","61479.80636","46113.14116","37619.99687","55960.69174","40205.93972","32548.8175","49151.25247","38251.39085","30819.93058","46791.57772"
"lx - number of people left alive at age x"," 85+ years","33488.37465","24670.6567","43404.01271","31470.60378","22681.18424","41519.91053","26000.32357","18289.6968","35025.49963","21783.81418","15287.83942","29320.80979","20656.23256","14363.47522","27879.89275"
"ndx - number of people dying between ages x and x+n"," &lt;1 year","676.3658304","717.3644175","630.2882371","911.7257062","973.5063157","841.9236139","1337.475073","1419.892455","1241.08587","2115.084105","2239.718837","1968.79195","2520.424624","2689.296585","2331.329059"
"ndx - number of people dying between ages x and x+n"," 1-4 years","113.6673738","120.0071085","106.4910338","151.2212559","157.9159321","143.50162","222.6766521","235.115825","208.1471211","366.7378348","385.9191834","344.6140496","698.3191829","722.4028245","670.7517682"
"ndx - number of people dying between ages x and x+n"," 5-9 years","91.72034071","96.77886852","85.888401","106.3244074","110.9922781","100.8722875","132.2625399","139.6832072","123.6849979","171.3339262","180.3543331","161.0952997","231.022459","239.0692161","222.0466288"
"ndx - number of people dying between ages x and x+n"," 10-14 years","96.14460828","119.7652407","68.57955392","105.8591608","135.991991","71.04160735","120.9237319","151.7509379","85.94496011","142.6804721","179.7603594","101.3608781","171.8262799","190.0837774","152.1916706"
"ndx - number of people dying between ages x and x+n"," 15-19  years","177.940738","238.1403432","108.616196","188.3641835","249.8808511","118.5296756","226.6605151","297.1788708","148.1321466","283.696115","378.127121","182.1255615","317.7307306","417.748518","211.06659"
"ndx - number of people dying between ages x and x+n"," 20-24 years","277.8316477","390.0323643","150.7901685","268.7675721","367.9431511","158.2559924","330.6331303","451.2322731","201.029704","361.1180502","481.7211761","232.5877656","443.2845809","515.1353197","366.7388481"
"ndx - number of people dying between ages x and x+n"," 25-29 years","300.8979415","429.316411","158.9270594","318.0113469","457.2234476","168.4417035","376.2761521","508.203519","235.9857416","383.8331649","513.8672891","245.3091563","515.4802832","539.250456","490.26743"
"ndx - number of people dying between ages x and x+n"," 30-34 years","416.6166201","597.4168029","222.9309889","424.7200525","603.4006642","234.7029733","523.0378942","725.4311405","307.7778453","549.6956942","729.0185995","358.759303","716.2635236","767.3479353","662.9449474"
"ndx - number of people dying between ages x and x+n"," 35-39 years","605.4879144","858.9523249","335.7628541","590.3889504","815.6505592","350.6594947","691.6130345","950.6722887","415.7340283","854.7348144","1130.246947","565.0294531","930.7501376","1165.30308","681.6266685"
"ndx - number of people dying between ages x and x+n"," 40-44 years","905.8697476","1259.246619","528.3349612","916.9266898","1258.69556","552.5006724","1071.284583","1461.305977","660.2845525","1241.08474","1625.707717","828.6025346","1328.719813","1681.097425","951.3491178"
"ndx - number of people dying between ages x and x+n"," 45-49 years","1187.572597","1613.25468","732.6499924","1335.292482","1870.106667","770.1494458","1579.858781","2111.675619","1006.660223","1612.759647","2067.691778","1119.241784","1926.475767","2226.553833","1604.306057"
"ndx - number of people dying between ages x and x+n"," 50-54 years","1861.704527","2459.849051","1226.747427","1944.623871","2566.404298","1272.562609","2148.995376","2798.694436","1438.750919","2744.59334","3387.637259","2041.676553","2865.310434","3511.589114","2164.382878"
"ndx - number of people dying between ages x and x+n"," 55-59 years","2845.335961","3672.026774","1946.016611","3014.888151","3910.825557","2033.029267","3306.275703","4183.817407","2338.297643","4085.776357","5000.9262","3069.770933","4007.801119","5154.559462","2675.525056"
"ndx - number of people dying between ages x and x+n"," 60-64 years","4411.672082","5539.413736","3174.911433","4751.573951","6043.590068","3322.50187","5454.057413","6727.573556","4024.82027","5764.025571","6781.028448","4545.903365","5994.809282","7116.500064","4628.912559"
"ndx - number of people dying between ages x and x+n"," 65-69 years","6722.386031","8124.905395","5181.061738","7157.252137","8752.844878","5368.608791","7941.172774","9369.586705","6203.141009","8800.035663","10030.9126","7258.781793","8942.311057","10338.91955","7259.063372"
